"","ID","sex","race","class","major","math.level","modality","MEA","MLA","SelfEfficacy","Technology","Cooperative","Deductive","Demonstrative","Inductive","Integrative","Lecturebased","Repetitive","TeacherCtrd","StudentCtrd","SocialEngg","BehaveEngg","Resource"
"1",1,"female","Asian","yr3","Health","stats","Visual",1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441,1.12537888400441
"2",2,"female","white","yr2","Health","stats","Auditory",0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999,0.9275883436999
"3",3,"female","white","yr2","STEM","other","Visual",-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103,-0.0415370781252103
"4",4,"female","other","yr1","Other","math02","Visual",-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239,-0.437118158734239
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027,-0.592943630934027
"6",6,"female","white","yr1","Other","math02","Auditory",0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413
"7",7,"female","white","yr1","Health","stats","Auditory",0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413,0.203663580869413
"8",8,"male","white","yr3","Business","math03","Visual",0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745,0.946628510414745
"9",9,"female","white","yr2","Other","other","Visual",-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975,-1.94208818453975
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028,-1.67784735883028
"11",11,"male","Black","yr3","STEM","math01","Visual",0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568,0.184623414154568
"12",12,"male","white","yr5+","STEM","math03","Visual",1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578,1.26564240737578
"13",13,"female","white","yr2","Health","stats","Auditory",-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057
"14",14,"female","white","yr5+","STEM","other","Kinesthetic",0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287,0.612052664625287
"15",15,"male","white","yr1","STEM","math04","Visual",-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057,-0.982292547975057
